id,created_at,text
931541416399925248,2017-11-17 15:15:55,Here is the Chemours news story that should be the first of many https://t.co/Rq4bJ8gD4E
931540946147205120,2017-11-17 15:14:03,$CC.  Receiving many requests for comment.  One of our worst stock calls of all time but hard to get past a company… https://t.co/JH1EPcpvLB
929045538107940864,2017-11-10 17:58:11,Congrats to Cohodes on strong $OSTK call at Grants' conference.  Citron is cautious at these prices.  Would wait fo… https://t.co/Sl5TvYcxWw
925389536862945281,2017-10-31 15:50:33,No need to go back and forth with management.  This is our official response to all media regarding $SHOP  https://t.co/Fn9MwJO3Xn
923895348065574914,2017-10-27 12:53:10,@CitronAndrewL   This  Andrew Left.  If this account is not down in 1 hour this  happen https://t.co/PB12H1nj6t   Last person went to jail
923891377515020288,2017-10-27 12:37:24,Someone has impersonated Andrew Left from Citron on Twitter.  Account has been  reported.  Whoever did this- read https://t.co/PB12H1nj6t
923199997587308545,2017-10-25 14:50:06,1 yr ago Citron long $RH at $30 https://t.co/oKfjCnFJnT Stock up  150+%.  NOT comfort owning here with new cap struct.  Knowing when to sell
922841907746574336,2017-10-24 15:07:11,Citron exposes even more shady distributors at $mdxg.  Could end worse for the employees than investors. Tgt-$3 (after SEC and DOJ investig)
918546790550515713,2017-10-12 18:39:55,Covering $hmny. Don’t like to stay short companies that are expected to lose money high borrow $  hit tgt price in one day.  all timing
918109339897835520,2017-10-11 13:41:38,$hmny stock to trade back to $20 Retail investors are warned. You might like product but $1+bill it isn’t.   Giving away $1 for .90 no biz
915592792750952448,2017-10-04 15:01:47,Here is the story that provides all the evidence the FTC needs agasint Shopify  $SHOP tgt $60 - being generous https://t.co/QBKEIVdpTa
915574820099649537,2017-10-04 13:50:22,Full story up in one hour...video live now...$SHOP is not the company Wall Street has sold you.  The FTC is going to shit when they read
915574475957067777,2017-10-04 13:49:00,"$SHOP a business dirtier than $HLF   If the company has 2,500 plus merchants and 25k advanced...who are other 470k merchants?  @FTC"
913054305619283968,2017-09-27 14:54:44,"$veri is not artificial intelligence, more like natural stupidity.  Stock should trade right back to $20."
912350077766606848,2017-09-25 16:16:23,First lawsuit filed against $UBNT today CIVIL DOCKET FOR CASE #: 1:17-cv-07279 Gericke v. Ubiquiti Networks Inc. et al.  Can't HIDE NOW
912342274406735872,2017-09-25 15:45:23,$UBNT @RobertPera @ScottWapnerCNBC Investor day tom Let's get answers for these 10 questions.  https://t.co/RL3GQgd05g .  Fake cash is Fraud
911250399398551552,2017-09-22 15:26:40,Cannot argue with this analysis- target $10   Smarter work than ANYONE on Wall Street has ever done on Wayfair.  https://t.co/JpDPS8NA7A
911250360802541569,2017-09-22 15:26:30,Smartest piece EVER written on $W.  Not by a short or long. By a team of Ivy League scientists who specialize in predictive models. $10 tgt
909846915726032896,2017-09-18 18:29:43,"$UBNT Mr. Pera, I will debate you on CNBC anytime you would like.  I am never too busy to stand by solid research."
909778805924835328,2017-09-18 13:59:04,Andrew Left of Citron on CNBC @HalftimeReport  to explain $UBNT fraud thesis
909775549219794944,2017-09-18 13:46:08,Citron Reports on $UBNT.  Believe total FRAUD. All claims supported by fact. https://t.co/Fn9MwJO3Xn.  Not seen anything like this in YEARS
907971673743171585,2017-09-13 14:18:10,Too many emails from Bitcoin followers. Current NAV of $GBTC is $355 without.  Still trading at a 75% premium.  #screwjob  $400 with cash
905135815562375168,2017-09-05 18:29:29,Citron updates $GBTC We explain $GBTC  should be $500 most with todays bitcoin price https://t.co/Fn9MwJO3Xn  Potential for total loss!!!
903300703594070016,2017-08-31 16:57:24,Andrew Left from Citron on CNBC at 5:30 EST to explain why holders of $GBTC are at risk of losing 50% of their investment in next month
903286529312751616,2017-08-31 16:01:05,$GBTC Warning Investors- No Reason this trades higher than $550 a share.  Do you know what you own? The most danger… https://t.co/5zNc32sfy5
900362909926043648,2017-08-23 14:23:40,Motorola Solutions $MSI Total Eclipse of the Truth.  Stock going to $45 once the market understand the new reality. https://t.co/dVIjVPakNf
877897150981562368,2017-06-22 14:32:45,$MNK Breaking News from the FDA FAERS database.  Adverse events from Acthar up over 280%  Not an opinion- FACT.   https://t.co/Fn9MwJO3Xn
875758296015134720,2017-06-16 16:53:43,Fear $AMZN.  Today reinforces why $W Wayfair shareholders should be concerned. Citron pressing short tgt$50  Multi… https://t.co/QgCp3o5yhz
873183647095939072,2017-06-09 14:22:59,$NVDA become a casino stock.  Will trade back to $130 before $180  If you think no comp READ Google whitepaper https://t.co/dVIjVPakNf
871733987517091840,2017-06-05 14:22:33,Click Here for $MNK bankruptcy  https://t.co/s87E9LREFk
871733460121137152,2017-06-05 14:20:27,$MNK BK  Citron exposes NEW info.  $ESRX speaks about Acthar.  Respect To Chanos.  First Enron then $VRX Now $MNK   https://t.co/rUXbC788CA
870274962191298560,2017-06-01 13:44:54,Could $BBRY bet he next $NVDA.  60 mil car install base cannot be ignored.  $BBRY could go uo 100% from here.  https://t.co/RL3GQgd05g
869967329748164609,2017-05-31 17:22:29,Wayfair - add this to  F#$ $W column.  Today WalMart starts natl commercials for Hayneedle.No aquisition there… https://t.co/mqgg4slWDV
869951353661005824,2017-05-31 16:19:00,"Citron issues challenge to $EXAS   Wall St has the price of Cologuard at over $500, yet company does not disclose p… https://t.co/wmT0d2u9kh"
867042132527259648,2017-05-23 15:38:47,"DO NOT BELIEVE CITRON! For undisputed evidence that $EXAS is on its way to $20 follow the ""Science"" behind $EXAS  https://t.co/RL3GQgd05g"
864470828041109504,2017-05-16 13:21:21,"Andrew Left on  Bloomberg TV ""What'd You Miss""today 3:30 EST to dispel the dangerous and potentially deadly lies told by EXAS CEO. $20  tgt"
864133936816857088,2017-05-15 15:02:40,"Andrew Left from Citron on CNBC Halftime Report today to explain why $EXAS is most important report ever.  Watch, it could save your life"
864129534144036866,2017-05-15 14:45:10,Citron's most important report in YEARS.  $EXAS to trade short term $20. Long term much lower.… https://t.co/MjIeO2Vgon
861963475114835968,2017-05-09 15:18:01,The tweet that $W Wayfair does not want you to see.  As a short there are times to add and other times to retreat -… https://t.co/DxBONw86Ff
